"sequence","support","pattern"
"<{M}>",0.574929443652723,1
"<{F}>",0.396261212172018,1
"<{T}>",0.384930281945958,1
"<{C}>",0.368429876770894,1
"<{A}>",0.319822840696342,1
"<{H}>",0.164570933579233,1
"<{E}>",0.151717103976304,1
"<{M},{T}>",0.146952804090871,2
"<{B}>",0.146729259228211,1
"<{M},{F}>",0.14591890910107,2
"<{K}>",0.130801687763713,1
"<{M},{C}>",0.130703886886299,2
"<{M},{A}>",0.1280353200883,2
"<{F},{T}>",0.0952999692625814,2
"<{S}>",0.0944616760276078,1
"<{C},{T}>",0.0851985357811496,2
"<{F},{M}>",0.0832006035711292,2
"<{C},{F}>",0.0827674853997262,2
"<{T},{C}>",0.081957135272585,2
"<{F},{C}>",0.0808114678514544,2
"<{C},{M}>",0.0792326822589208,2
"<{T},{F}>",0.0775560957889737,2
"<{T},{M}>",0.0716042138206611,2
"<{A},{T}>",0.068265012434683,2
"<{C},{A}>",0.0675105485232067,2
"<{M},{H}>",0.0668958001508928,2
"<{A},{C}>",0.0657780758375947,2
"<{A},{F}>",0.0657221896219297,2
"<{F},{A}>",0.0615726381088105,2
"<{A},{M}>",0.0600916533936904,2
"<{M},{B}>",0.0595327912370414,2
"<{M},{E}>",0.0590018721882248,2
"<{D}>",0.057842233213178,1
"<{T},{A}>",0.0551596948612625,2
"<{M},{K}>",0.0546008327046134,2
"<{F},{H}>",0.0495012155251907,2
"<{C},{H}>",0.0493614999860284,2
"<{C},{B}>",0.0474893117612541,2
"<{T},{H}>",0.0458546399530556,2
"<{T},{B}>",0.044834716517171,2
"<{F},{B}>",0.0434515326794646,2
"<{I}>",0.0427669265375695,1
"<{M},{S}>",0.0416771453321038,2
"<{F},{K}>",0.0401961606169838,2
"<{G}>",0.0382541146226283,1
"<{A},{S}>",0.0382261715147959,2
"<{T},{K}>",0.0376673093581468,2
"<{U}>",0.0376533378042306,1
"<{C},{K}>",0.0361164668734457,2
"<{H},{T}>",0.0356693771481264,2
"<{E},{A}>",0.0350127141140638,2
"<{E},{T}>",0.0349707994523151,2
"<{E},{C}>",0.034845055467069,2
"<{A},{H}>",0.0338949898007656,2
"<{C},{S}>",0.0335736440606924,2
"<{E},{F}>",0.03354570095286,2
"<{A},{E}>",0.0306815324000335,2
"<{H},{F}>",0.0301645849051332,2
"<{E},{M}>",0.030094727135552,2
"<{A},{B}>",0.029046860591835,2
"<{M},{F},{T}>",0.0286556570821807,3
"<{B},{C}>",0.0279431078324531,2
"<{H},{C}>",0.027691619861961,2
"<{K},{T}>",0.0275099896610501,2
"<{H},{M}>",0.0275099896610501,2
"<{B},{T}>",0.0274261603375527,2
"<{F},{S}>",0.0269371559504848,2
"<{K},{F}>",0.0258194316371867,2
"<{B},{F}>",0.0256238298823595,2
"<{B},{M}>",0.0252465979266214,2
"<{M},{T},{C}>",0.0250929108335429,3
"<{K},{C}>",0.0248833375247995,2
"<{T},{S}>",0.0246318495543074,2
"<{M},{C},{T}>",0.0243663900298991,3
"<{F},{E}>",0.0242266744907369,2
"<{M},{T},{F}>",0.0240869589515746,3
"<{A},{K}>",0.0235839830105904,2
"<{C},{E}>",0.0235700114566742,2
"<{M},{F},{C}>",0.023248665716601,3
"<{M},{C},{F}>",0.0231927795009361,3
"<{M},{A},{T}>",0.0224103724816274,3
"<{H},{A}>",0.0220890267415542,2
"<{M},{D}>",0.0216838516779836,2
"<{B},{A}>",0.0216279654623187,2
"<{K},{M}>",0.0213066197222455,2
"<{M},{A},{F}>",0.0208595299969263,3
"<{P}>",0.0208036437812614,1
"<{T},{E}>",0.0206918713499315,2
"<{M},{A},{C}>",0.0203146393941934,3
"<{M},{I}>",0.0200631514237013,2
"<{M},{C},{A}>",0.0186101098164138,3
"<{K},{H}>",0.0183446502920055,2
"<{C},{D}>",0.0181630200910945,2
"<{M},{F},{A}>",0.0179953614440998,3
"<{H},{B}>",0.017576214826613,2
"<{E},{S}>",0.0175622432726968,2
"<{M},{T},{A}>",0.0172269259787074,3
"<{B},{H}>",0.0170033811160477,2
"<{K},{A}>",0.0169195517925504,2
"<{N}>",0.0163606896359013,1
"<{F},{D}>",0.016220974096739,2
"<{E},{H}>",0.0161930309889066,2
"<{H},{K}>",0.0160812585575768,2
"<{F},{M},{A}>",0.0160672870036605,3
"<{M},{G}>",0.0160533154497443,2
"<{F},{T},{C}>",0.0158996283566658,3
"<{A},{I}>",0.0156760834940062,2
"<{M},{F},{H}>",0.0153966524156817,3
"<{C},{M},{A}>",0.0152988515382681,3
"<{C},{I}>",0.0152709084304356,2
"<{F},{M},{T}>",0.0152569368765194,3
"<{T},{D}>",0.0150892782295247,2
"<{M},{T},{H}>",0.0150194204599436,3
"<{A},{U}>",0.0148657333668651,2
"<{C},{F},{T}>",0.0148517618129488,3
"<{M},{C},{H}>",0.0147958755972839,3
"<{F},{C},{T}>",0.0146421885042054,3
"<{M},{U}>",0.0146282169502892,2
"<{M},{T},{B}>",0.0144465867493783,3
"<{K},{B}>",0.014432615195462,2
"<{E},{B}>",0.0143487858719647,2
"<{S},{T}>",0.0142370134406349,2
"<{C},{M},{T}>",0.0142230418867186,3
"<{S},{F}>",0.0141252410093051,2
"<{C},{M},{F}>",0.0140134685779752,3
"<{D},{T}>",0.0138597814848968,2
"<{C},{T},{F}>",0.0138178668231481,3
"<{M},{C},{B}>",0.0137759521613994,3
"<{T},{C},{F}>",0.0134546064213262,3
"<{S},{C}>",0.0133707770978288,2
"<{F},{M},{C}>",0.0132310615586666,3
"<{M},{F},{B}>",0.0132031184508341,3
"<{F},{T},{M}>",0.0131192891273367,3
"<{C},{G}>",0.0131053175734205,2
"<{M},{A},{S}>",0.0130214882499232,3
"<{C},{U}>",0.0127280856176824,2
"<{T},{C},{M}>",0.0125464554167715,3
"<{M},{A},{E}>",0.0125045407550228,3
"<{T},{M},{A}>",0.0125045407550228,3
"<{M},{T},{K}>",0.0124905692011065,3
"<{F},{C},{M}>",0.0124626260932741,3
"<{F},{I}>",0.0124346829854416,2
"<{M},{E},{A}>",0.0124207114315254,3
"<{M},{F},{K}>",0.0124067398776092,3
"<{B},{K}>",0.012392768323693,2
"<{D},{C}>",0.0123787967697767,2
"<{A},{F},{T}>",0.0123229105541118,3
"<{F},{G}>",0.0122809958923631,2
"<{C},{F},{M}>",0.0122251096766982,3
"<{T},{G}>",0.0121971665688658,2
"<{D},{F}>",0.0121412803532009,2
"<{A},{C},{T}>",0.0119596501522899,3
"<{M},{H},{T}>",0.011903763936625,3
"<{C},{T},{M}>",0.011903763936625,3
"<{S},{M}>",0.0118199346131277,2
"<{F},{C},{A}>",0.0117361052896303,3
"<{D},{M}>",0.0116941906278816,2
"<{A},{M},{T}>",0.0116383044122167,3
"<{E},{K}>",0.0115684466426356,2
"<{M},{A},{H}>",0.0115544750887194,3
"<{T},{F},{C}>",0.0115265319808869,3
"<{A},{M},{F}>",0.0114566742113058,3
"<{M},{C},{K}>",0.0114287311034733,3
"<{C},{F},{A}>",0.0113309302260597,3
"<{T},{C},{A}>",0.0112890155643111,3
"<{A},{C},{F}>",0.0112610724564786,3
"<{A},{D}>",0.0111912146868975,2
"<{T},{I}>",0.0111353284712326,2
"<{T},{M},{F}>",0.0109676698242379,3
"<{C},{A},{T}>",0.0109397267164054,3
"<{A},{T},{C}>",0.0108978120546567,3
"<{F},{T},{A}>",0.010855897392908,3
"<{H},{S}>",0.0108139827311594,2
"<{F},{T},{H}>",0.0106882387459133,3
"<{T},{F},{M}>",0.0106742671919971,3
"<{M},{E},{T}>",0.0104507223293375,3
"<{T},{M},{C}>",0.010422779221505,3
"<{M},{E},{F}>",0.0103948361136726,3
"<{C},{T},{A}>",0.0103808645597563,3
"<{M},{C},{S}>",0.0103529214519239,3
"<{F},{T},{B}>",0.0102690921284265,3
"<{A},{M},{C}>",0.0102132059127616,3
"<{S},{A}>",0.0102132059127616,2
"<{S},{I}>",0.0101992343588454,2
"<{T},{C},{H}>",0.0101852628049292,3
"<{A},{F},{C}>",0.0101712912510129,3
"<{M},{E},{C}>",0.0101014334814318,3
"<{M},{H},{F}>",0.0100734903735994,3
"<{C},{F},{H}>",0.0100315757118507,3
"<{A},{T},{F}>",0.0100315757118507,3
"<{C},{A},{F}>",0.0100176041579344,3
"<{C},{T},{H}>",0.00998966105010199,3
"<{F},{C},{H}>",0.00991980328052086,3
"<{F},{A},{T}>",0.00990583172660463,3
"<{D},{A}>",0.00979405929527482,2
"<{A},{G}>",0.00968228686394501,2
"<{M},{A},{B}>",0.00966831531002878,3
"<{B},{S}>",0.00965434375611256,2
"<{C},{T},{B}>",0.00945874200128538,3
"<{M},{H},{C}>",0.00943079889345293,3
"<{T},{C},{B}>",0.00937491267778802,3
"<{M},{K},{T}>",0.00934696956995557,3
"<{C},{F},{B}>",0.00934696956995557,3
"<{M},{B},{T}>",0.00927711180037444,3
"<{F},{T},{K}>",0.00926314024645821,3
"<{D},{H}>",0.00905356693771481,2
"<{F},{C},{B}>",0.00902562382988236,3
"<{M},{P}>",0.00898370916813368,2
"<{M},{B},{C}>",0.00895576606030123,3
"<{S},{H}>",0.00891385139855255,2
